,transcriptomic,proteomic,genomic,rna_prot_corr,score
GPNMB,11.495594444444444,0.1283851851851852,0.0064516129032258064,0.7022298456260719,0.6409232134931203
USP9X,11.792101851851852,0.046094444444444445,0.008602150537634409,0.6089309879319744,0.6395916555703506
PKP4,11.283185185185182,0.03491111111111113,0.010752688172043012,0.4527244659573121,0.638260097647581
CCDC80,9.787946296296298,0.14503023255813954,0.008602150537634409,,0.638260097647581
TNS3,12.230209259259258,0.0385962962962963,0.008602150537634409,0.7689492844789809,0.6378162450066578
PTPRF,13.846724074074077,0.01635555555555556,0.010752688172043012,0.4675814751286449,0.6373723923657346
MEST,11.624731481481483,0.11209629629629632,0.0064516129032258064,0.7099294835143891,0.6360408344429649
SPTA1,0.5085555555555555,0.1978407407407408,0.021505376344086023,0.03630564827522419,0.6344873501997337
LAMB1,10.116946296296295,0.04445185185185184,0.017204301075268817,0.49370104261001146,0.6333777185974256
RIF1,9.16721111111111,0.0757962962962963,0.017204301075268817,0.3755669906613302,0.6329338659565025
XIAP,10.034116666666664,0.10504893617021277,0.008602150537634409,,0.6329338659565024
HDAC6,10.413088888888888,0.08151296296296297,0.008602150537634409,0.49316739416988326,0.6316023080337327
PLSCR1,11.16947962962963,0.131288,0.0064516129032258064,,0.6311584553928096
PODN,8.006548148148148,0.15404102564102565,0.012903225806451613,,0.6307146027518864
NACA,13.178244444444443,0.07625370370370371,0.0064516129032258064,0.2506194015627978,0.6293830448291168
KDM3B,11.158614814814818,0.051620370370370365,0.008602150537634409,0.4495902420430722,0.6289391921881935
DST,9.40326111111111,0.05769811320754718,0.034408602150537634,,0.6284953395472703
ZMIZ1,12.228622222222223,0.08558157894736841,0.0064516129032258064,,0.6284953395472702
PARP4,11.03612222222222,0.05681296296296297,0.008602150537634409,0.4319039451114922,0.628051486906347
LRIG1,11.949266666666666,0.08997435897435897,0.0064516129032258064,,0.6276076342654239
WDFY3,9.700888888888892,0.08277727272727273,0.010752688172043012,,0.6276076342654238
CELSR2,12.185238888888888,0.011962500000000001,0.012903225806451613,,0.6271637816245006
DSP,13.026955555555556,0.0734351851851852,0.0064516129032258064,0.462016390318277,0.6249445184198846
DCTN1,11.856677777777778,0.008890740740740744,0.015053763440860216,0.178273299028016,0.6247225920994229
TRIO,10.74207037037037,0.033195918367346915,0.012903225806451613,,0.6245006657789614
HKDC1,7.650762962962964,0.16051111111111105,0.012903225806451613,0.7345530779493042,0.6245006657789614
USP24,10.394975925925927,0.05345185185185186,0.010752688172043012,0.46194896042238487,0.6240568131380382
TEP1,8.661540740740739,0.08455116279069767,0.01935483870967742,,0.6227252552152684
SOS1,10.74516851851852,0.06311935483870967,0.008602150537634409,,0.6218375499334221
ZFYVE26,9.711855555555553,0.05504,0.015053763440860216,,0.6211717709720372
MVP,11.250774074074075,0.1143296296296296,0.0064516129032258064,0.8476081570421191,0.6205059920106525
LPHN2,10.309540740740738,0.07956190476190475,0.008602150537634409,,0.6205059920106524
MYH11,7.421851851851852,0.503562962962963,0.010752688172043012,0.7393558223746902,0.6169551708832668
CFH,9.665518518518516,0.12489814814814813,0.008602150537634409,0.3825042881646655,0.6169551708832667
APOB,1.6353555555555555,0.13023703703703704,0.02795698924731183,0.08600466435435468,0.6165113182423435
ECE1,11.398049999999998,0.10375961538461537,0.0064516129032258064,,0.6160674656014203
LPA,1.8143574074074076,0.17906923076923073,0.015053763440860216,,0.6154016866400355
TACC2,9.169625925925926,0.10315238095238097,0.010752688172043012,,0.6151797603195739
ADAR,13.459277777777778,0.06712222222222222,0.0064516129032258064,0.48557270821421755,0.6147359076786506
KIAA1217,11.891540740740743,0.03586111111111111,0.008602150537634409,0.6586239756051075,0.6138482023968042
DOCK2,7.783488888888889,0.09394259259259259,0.01935483870967742,0.7028397179340574,0.6120727918331114
BBX,10.572655555555556,0.25433125,0.0064516129032258064,,0.6120727918331114
TTC21B,8.306625925925928,0.16981935483870972,0.010752688172043012,,0.6111850865512649
DNAH2,6.255429629629629,0.11751071428571427,0.01935483870967742,,0.6111850865512649
DNAH1,7.608164814814817,0.2660037037037037,0.010752688172043012,,0.6111850865512649
COL6A6,3.8158907407407394,0.1592871794871795,0.015053763440860216,,0.6109631602308033
UBR5,11.028320370370368,0.019035185185185186,0.015053763440860216,0.17232704402515722,0.6109631602308033
CDK13,10.201120370370372,0.08069761904761903,0.008602150537634409,,0.6107412339103417
AHCTF1,9.859911111111114,0.04745740740740742,0.015053763440860216,0.21472135396813297,0.6100754549489569
TRRAP,11.104470370370368,0.031085185185185188,0.010752688172043012,0.22619070312290057,0.6098535286284953
CYFIP1,11.343738888888888,0.017322222222222215,0.012903225806451613,0.5209453020773775,0.609409675987572
DDX54,10.809231481481483,0.14320377358490566,0.0064516129032258064,,0.6067465601420329
LRBA,10.227953703703703,0.041255555555555545,0.012903225806451613,0.6406327425195348,0.6063027075011096
ANK3,9.272603703703705,0.06315000000000001,0.015053763440860216,0.40323994663617296,0.606080781180648
PACS1,12.10293333333333,0.031905555555555555,0.008602150537634409,0.39622641509433953,0.6054150022192633
CUL9,9.657529629629629,0.05830000000000002,0.012903225806451613,,0.6045272969374167
RB1CC1,10.193494444444442,0.03271590909090909,0.01935483870967742,,0.6027518863737239
PTPN13,7.8508203703703705,0.17817857142857146,0.010752688172043012,,0.6027518863737238
FAM120C,8.746931481481479,0.08625714285714287,0.012903225806451613,,0.6018641810918774
PPM1F,8.675835185185186,0.1194148148148148,0.010752688172043012,0.14030874785591765,0.6014203284509543
